Income in 2008;Turnout rates;Population share
5000;41.3;3.50374806647364
12500;41.2;3.48391702693055
17500;44.3;3.19517709118312
25000;48;9.30075754571055
35000;54.4;11.2196089319002
45000;58.2;8.95966366556935
62500;65.9;22.0917780510054
87500;72.6;14.3687780113434
125000;74.9;13.8983857533812
300000;78.1;9.9781858565026
